method,run,overlap,limits,time
ASDETECT,1,NaN,"(15, 15)",2.2843937310008187
ASDETECT,2,NaN,"(15, 15)",2.283255565998843
ASDETECT,3,NaN,"(15, 15)",2.2897152619989356
ASDETECT,4,NaN,"(15, 15)",2.2890107550010725
ASDETECT,5,NaN,"(15, 15)",2.289025614998536
ASDETECT,6,NaN,"(15, 15)",2.290375029000643
ASDETECT,7,NaN,"(15, 15)",2.2895693959999335
ASDETECT,8,NaN,"(15, 15)",2.2867794260000665
ASDETECT,9,NaN,"(15, 15)",2.287029065999377
ASDETECT,10,NaN,"(15, 15)",2.2773715620005532
ASDETECT,1,NaN,"(35, 35)",1.2564237409987982
ASDETECT,2,NaN,"(35, 35)",1.2569141700005275
ASDETECT,3,NaN,"(35, 35)",1.256839626999863
ASDETECT,4,NaN,"(35, 35)",1.255873457999769
ASDETECT,5,NaN,"(35, 35)",1.2594474509987776
ASDETECT,6,NaN,"(35, 35)",1.259469282000282
ASDETECT,7,NaN,"(35, 35)",1.2625523249989783
ASDETECT,8,NaN,"(35, 35)",1.2598937799994019
ASDETECT,9,NaN,"(35, 35)",1.2615808179998567
ASDETECT,10,NaN,"(35, 35)",1.2602361339995696
ASDETECT,1,NaN,"(70, 70)",0.8808837180004048
ASDETECT,2,NaN,"(70, 70)",0.8838551459994051
ASDETECT,3,NaN,"(70, 70)",0.8821643890005362
ASDETECT,4,NaN,"(70, 70)",0.8841337070007285
ASDETECT,5,NaN,"(70, 70)",0.8853474750012538
ASDETECT,6,NaN,"(70, 70)",0.8855848440016416
ASDETECT,7,NaN,"(70, 70)",0.8841341369989095
ASDETECT,8,NaN,"(70, 70)",0.8851695379999001
ASDETECT,9,NaN,"(70, 70)",0.8852267199999915
ASDETECT,10,NaN,"(70, 70)",0.8825127529999008
ASDETECT,1,NaN,"(116, 116)",0.7355153019998397
ASDETECT,2,NaN,"(116, 116)",0.7360358030000498
ASDETECT,3,NaN,"(116, 116)",0.7381859880006232
ASDETECT,4,NaN,"(116, 116)",0.737747921000846
ASDETECT,5,NaN,"(116, 116)",0.7358432950004499
ASDETECT,6,NaN,"(116, 116)",0.7375162610005646
ASDETECT,7,NaN,"(116, 116)",0.7385106710007676
ASDETECT,8,NaN,"(116, 116)",0.7391782180002338
ASDETECT,9,NaN,"(116, 116)",0.7382319199987251
ASDETECT,10,NaN,"(116, 116)",0.7385866940003325
ASSWDETECT,1,0.215,"(15, 15)",2.782368210000641
ASSWDETECT,2,0.215,"(15, 15)",2.7798840520008525
ASSWDETECT,3,0.215,"(15, 15)",2.7834584929987614
ASSWDETECT,4,0.215,"(15, 15)",2.7753432120007346
ASSWDETECT,5,0.215,"(15, 15)",2.7793884919992706
ASSWDETECT,6,0.215,"(15, 15)",2.782253044999379
ASSWDETECT,7,0.215,"(15, 15)",2.7758701929997187
ASSWDETECT,8,0.215,"(15, 15)",2.781754435000039
ASSWDETECT,9,0.215,"(15, 15)",2.782816016999277
ASSWDETECT,10,0.215,"(15, 15)",2.784872029998951
ASSWDETECT_DOUBLE,1,0.215,"(15, 15)",5.383007249998627
ASSWDETECT_DOUBLE,2,0.215,"(15, 15)",5.387867221999841
ASSWDETECT_DOUBLE,3,0.215,"(15, 15)",5.3887821290009015
ASSWDETECT_DOUBLE,4,0.215,"(15, 15)",5.381793962000302
ASSWDETECT_DOUBLE,5,0.215,"(15, 15)",5.373330554999484
ASSWDETECT_DOUBLE,6,0.215,"(15, 15)",5.368859178999628
ASSWDETECT_DOUBLE,7,0.215,"(15, 15)",5.382786321000822
ASSWDETECT_DOUBLE,8,0.215,"(15, 15)",5.374966260000292
ASSWDETECT_DOUBLE,9,0.215,"(15, 15)",5.384166646001177
ASSWDETECT_DOUBLE,10,0.215,"(15, 15)",5.394036337000216
ASSWDETECT,1,0.215,"(35, 35)",1.4934593079997285
ASSWDETECT,2,0.215,"(35, 35)",1.4973169910008437
ASSWDETECT,3,0.215,"(35, 35)",1.4979579970004124
ASSWDETECT,4,0.215,"(35, 35)",1.4978158110006916
ASSWDETECT,5,0.215,"(35, 35)",1.4977930599998217
ASSWDETECT,6,0.215,"(35, 35)",1.4975415210010397
ASSWDETECT,7,0.215,"(35, 35)",1.4979251349996048
ASSWDETECT,8,0.215,"(35, 35)",1.4988880639994022
ASSWDETECT,9,0.215,"(35, 35)",1.500982245999694
ASSWDETECT,10,0.215,"(35, 35)",1.5014437360005104
ASSWDETECT_DOUBLE,1,0.215,"(35, 35)",2.806377203000011
ASSWDETECT_DOUBLE,2,0.215,"(35, 35)",2.805815600000642
ASSWDETECT_DOUBLE,3,0.215,"(35, 35)",2.8086666430008336
ASSWDETECT_DOUBLE,4,0.215,"(35, 35)",2.8090539299992088
ASSWDETECT_DOUBLE,5,0.215,"(35, 35)",2.8129562939993775
ASSWDETECT_DOUBLE,6,0.215,"(35, 35)",2.8017455989993323
ASSWDETECT_DOUBLE,7,0.215,"(35, 35)",2.813412191999305
ASSWDETECT_DOUBLE,8,0.215,"(35, 35)",2.8148186769994936
ASSWDETECT_DOUBLE,9,0.215,"(35, 35)",2.8134975860011764
ASSWDETECT_DOUBLE,10,0.215,"(35, 35)",2.8147216840006877
ASSWDETECT,1,0.215,"(70, 70)",1.0398657500008994
ASSWDETECT,2,0.215,"(70, 70)",1.0413118380001833
ASSWDETECT,3,0.215,"(70, 70)",1.0420951689993672
