method,run,overlap,limits,time
ASSWDETECT,4,0.215,"(70, 70)",1.0435480960004497
ASSWDETECT,5,0.215,"(70, 70)",1.0415724079994106
ASSWDETECT,6,0.215,"(70, 70)",1.0407626460000756
ASSWDETECT,7,0.215,"(70, 70)",1.04123481500028
ASSWDETECT,8,0.215,"(70, 70)",1.041175762000421
ASSWDETECT,9,0.215,"(70, 70)",1.044734053000866
ASSWDETECT,10,0.215,"(70, 70)",1.0432479749997583
ASSWDETECT_DOUBLE,1,0.215,"(70, 70)",1.914865249000286
ASSWDETECT_DOUBLE,2,0.215,"(70, 70)",1.9156099680003535
ASSWDETECT_DOUBLE,3,0.215,"(70, 70)",1.9170594759998494
ASSWDETECT_DOUBLE,4,0.215,"(70, 70)",1.9168987299999571
ASSWDETECT_DOUBLE,5,0.215,"(70, 70)",1.914846038000178
ASSWDETECT_DOUBLE,6,0.215,"(70, 70)",1.9197270320000825
ASSWDETECT_DOUBLE,7,0.215,"(70, 70)",1.9190021230006096
ASSWDETECT_DOUBLE,8,0.215,"(70, 70)",1.9214574710003944
ASSWDETECT_DOUBLE,9,0.215,"(70, 70)",1.9211697989994718
ASSWDETECT_DOUBLE,10,0.215,"(70, 70)",1.9232992239994928
ASSWDETECT,1,0.215,"(116, 116)",0.7765504620001593
ASSWDETECT,2,0.215,"(116, 116)",0.7772644010001386
ASSWDETECT,3,0.215,"(116, 116)",0.7787762909993035
ASSWDETECT,4,0.215,"(116, 116)",0.7787345289998484
ASSWDETECT,5,0.215,"(116, 116)",0.7797636799987231
ASSWDETECT,6,0.215,"(116, 116)",0.7777150980000442
ASSWDETECT,7,0.215,"(116, 116)",0.7777362699998775
ASSWDETECT,8,0.215,"(116, 116)",0.7775416220010811
ASSWDETECT,9,0.215,"(116, 116)",0.778435696998713
ASSWDETECT,10,0.215,"(116, 116)",0.7786756059995241
ASSWDETECT_DOUBLE,1,0.215,"(116, 116)",1.376470106000852
ASSWDETECT_DOUBLE,2,0.215,"(116, 116)",1.3734834380011307
ASSWDETECT_DOUBLE,3,0.215,"(116, 116)",1.3746518239986472
ASSWDETECT_DOUBLE,4,0.215,"(116, 116)",1.3758802129996184
ASSWDETECT_DOUBLE,5,0.215,"(116, 116)",1.3750183980009751
ASSWDETECT_DOUBLE,6,0.215,"(116, 116)",1.3737428069998714
ASSWDETECT_DOUBLE,7,0.215,"(116, 116)",1.3744624470000417
ASSWDETECT_DOUBLE,8,0.215,"(116, 116)",1.375265118000243
ASSWDETECT_DOUBLE,9,0.215,"(116, 116)",1.3754704960010713
ASSWDETECT_DOUBLE,10,0.215,"(116, 116)",1.3730355900006543
