method,run,overlap,time
ASDETECT,1,NaN,124.30520546063781
ASDETECT,2,NaN,124.07053634524345
ASDETECT,3,NaN,123.96036810800433
ASDETECT,4,NaN,124.40015279874206
ASDETECT,5,NaN,123.88691873662174
ASDETECT,6,NaN,124.22832094319165
ASDETECT,7,NaN,124.13385116495192
ASDETECT,8,NaN,123.94908896461129
ASDETECT,9,NaN,123.98009778186679
ASDETECT,10,NaN,124.04527710564435
ASDETECT,11,NaN,123.84301599301398
ASDETECT,12,NaN,124.0420299898833
ASDETECT,13,NaN,123.89205078780651
ASDETECT,14,NaN,123.70663711242378
ASDETECT,15,NaN,123.82240534015
ASDETECT,16,NaN,124.03160260617733
ASDETECT,17,NaN,123.88164107128978
ASDETECT,18,NaN,124.10200257226825
ASDETECT,19,NaN,123.98733260296285
ASDETECT,20,NaN,123.88548097759485
ASSWDETECT,1,0.0,124.48047224804759
ASSWDETECT,2,0.0,125.0750494543463
ASSWDETECT,3,0.0,124.87221196293831
ASSWDETECT,4,0.0,124.48841365985572
ASSWDETECT,5,0.0,124.13709863089025
ASSWDETECT,6,0.0,124.5694895721972
ASSWDETECT,7,0.0,124.6173360068351
ASSWDETECT,8,0.0,124.52174120396376
ASSWDETECT,9,0.0,124.85672633163631
ASSWDETECT,10,0.0,124.80138752795756
ASSWDETECT,11,0.0,124.03367335908115
ASSWDETECT,12,0.0,124.21323570050299
ASSWDETECT,13,0.0,124.62201118841767
ASSWDETECT,14,0.0,125.02348884567618
ASSWDETECT,15,0.0,124.88218724168837
ASSWDETECT,16,0.0,124.5319430809468
ASSWDETECT,17,0.0,125.09841721504927
ASSWDETECT,18,0.0,124.1945166438818
ASSWDETECT,19,0.0,124.41378560476005
ASSWDETECT,20,0.0,124.9266232252121
ASSWDETECT,1,0.1,132.3117944765836
ASSWDETECT,2,0.1,131.59709138050675
ASSWDETECT,3,0.1,132.2456442322582
ASSWDETECT,4,0.1,132.52825967222452
ASSWDETECT,5,0.1,132.16696079447865
ASSWDETECT,6,0.1,131.9611168447882
ASSWDETECT,7,0.1,132.07659553177655
ASSWDETECT,8,0.1,132.53084687888622
ASSWDETECT,9,0.1,131.97776500880718
ASSWDETECT,10,0.1,132.07881674170494
ASSWDETECT,11,0.1,132.17735058441758
ASSWDETECT,12,0.1,132.32411769032478
ASSWDETECT,13,0.1,132.46730555966496
ASSWDETECT,14,0.1,131.7136453744024
ASSWDETECT,15,0.1,131.95941983163357
ASSWDETECT,16,0.1,132.386146010831
ASSWDETECT,17,0.1,132.24288500845432
ASSWDETECT,18,0.1,132.20904362015426
ASSWDETECT,19,0.1,132.0659224614501
ASSWDETECT,20,0.1,132.48543800227344
ASSWDETECT,1,0.2,148.32181189395487
ASSWDETECT,2,0.2,148.38633601367474
ASSWDETECT,3,0.2,148.265691511333
ASSWDETECT,4,0.2,147.487510971725
ASSWDETECT,5,0.2,148.18940696120262
ASSWDETECT,6,0.2,147.68918689712882
ASSWDETECT,7,0.2,148.16658287122846
ASSWDETECT,8,0.2,148.07291636802256
ASSWDETECT,9,0.2,148.4827137682587
ASSWDETECT,10,0.2,148.5912354402244
ASSWDETECT,11,0.2,147.80478697270155
ASSWDETECT,12,0.2,148.77031275257468
ASSWDETECT,13,0.2,148.34442313574255
ASSWDETECT,14,0.2,148.24273991584778
ASSWDETECT,15,0.2,148.2698285970837
ASSWDETECT,16,0.2,148.55260891094804
ASSWDETECT,17,0.2,147.74390753172338
ASSWDETECT,18,0.2,148.2454476468265
ASSWDETECT,19,0.2,148.25230085477233
ASSWDETECT,20,0.2,148.5406568273902
ASSWDETECT,1,0.3,165.2207074854523
ASSWDETECT,2,0.3,165.06200051307678
ASSWDETECT,3,0.3,166.13696132414043
ASSWDETECT,4,0.3,165.9563735872507
ASSWDETECT,5,0.3,165.20907291211188
ASSWDETECT,6,0.3,166.13985618017614
ASSWDETECT,7,0.3,165.23141861334443
ASSWDETECT,8,0.3,166.68534037843347
ASSWDETECT,9,0.3,165.30925618484616
ASSWDETECT,10,0.3,164.84934598580003
ASSWDETECT,11,0.3,166.2030143495649
ASSWDETECT,12,0.3,165.22292258404195
ASSWDETECT,13,0.3,165.96366585418582
ASSWDETECT,14,0.3,165.30537028983235
ASSWDETECT,15,0.3,166.30636553280056
ASSWDETECT,16,0.3,166.19760091602802
ASSWDETECT,17,0.3,166.13083519227803
ASSWDETECT,18,0.3,165.24111616797745
ASSWDETECT,19,0.3,166.1307491697371
ASSWDETECT,20,0.3,165.6691277883947
ASSWDETECT,1,0.4,191.59042583219707
ASSWDETECT,2,0.4,191.34121962450445
ASSWDETECT,3,0.4,191.4367591254413
ASSWDETECT,4,0.4,191.28982145152986
ASSWDETECT,5,0.4,190.38315453194082
ASSWDETECT,6,0.4,191.1154419258237
ASSWDETECT,7,0.4,191.3301603794098
ASSWDETECT,8,0.4,191.72880951873958
ASSWDETECT,9,0.4,191.28629853390157
ASSWDETECT,10,0.4,191.25188335217535
ASSWDETECT,11,0.4,191.81644264608622
ASSWDETECT,12,0.4,191.03624655865133
ASSWDETECT,13,0.4,190.72888227924705
ASSWDETECT,14,0.4,191.25063129514456
ASSWDETECT,15,0.4,191.46479080989957
ASSWDETECT,16,0.4,192.0585691165179
ASSWDETECT,17,0.4,191.05399784445763
ASSWDETECT,18,0.4,191.15623995661736
ASSWDETECT,19,0.4,190.7289925403893
ASSWDETECT,20,0.4,190.7881130259484
ASSWDETECT,1,0.5,228.89167683012784
ASSWDETECT,2,0.5,228.31836666725576
ASSWDETECT,3,0.5,228.70003036782146
ASSWDETECT,4,0.5,227.66354509070516
ASSWDETECT,5,0.5,228.0698931068182
ASSWDETECT,6,0.5,228.89660288020968
ASSWDETECT,7,0.5,228.79004354216158
ASSWDETECT,8,0.5,228.3292640838772
ASSWDETECT,9,0.5,227.5439407415688
ASSWDETECT,10,0.5,228.8752818070352
ASSWDETECT,11,0.5,228.09271755069494
ASSWDETECT,12,0.5,228.23003933392465
ASSWDETECT,13,0.5,227.64574474655092
ASSWDETECT,14,0.5,228.1323574092239
ASSWDETECT,15,0.5,228.62693169899285
ASSWDETECT,16,0.5,228.045805150643
ASSWDETECT,17,0.5,227.74086612835526
ASSWDETECT,18,0.5,228.346987741068
ASSWDETECT,19,0.5,228.8599889073521
ASSWDETECT,20,0.5,228.28024202398956
ASSWDETECT,1,0.6,278.10086265206337
ASSWDETECT,2,0.6,276.7999936826527
ASSWDETECT,3,0.6,276.8596386183053
ASSWDETECT,4,0.6,276.91389564983547
ASSWDETECT,5,0.6,278.02231054380536
ASSWDETECT,6,0.6,277.5745110530406
ASSWDETECT,7,0.6,277.53956389799714
ASSWDETECT,8,0.6,276.6426402758807
ASSWDETECT,9,0.6,277.62277443520725
ASSWDETECT,10,0.6,277.77674087509513
ASSWDETECT,11,0.6,276.598912557587
ASSWDETECT,12,0.6,276.38056028448045
ASSWDETECT,13,0.6,278.2680643685162
ASSWDETECT,14,0.6,277.4811995085329
ASSWDETECT,15,0.6,276.1645938754082
ASSWDETECT,16,0.6,277.4437675829977
ASSWDETECT,17,0.6,278.2225386723876
ASSWDETECT,18,0.6,276.7944214697927
ASSWDETECT,19,0.6,277.04455857537687
ASSWDETECT,20,0.6,276.4660335481167
ASSWDETECT,1,0.7,354.14536946453154
ASSWDETECT,2,0.7,354.48447186872363
ASSWDETECT,3,0.7,352.9173983372748
ASSWDETECT,4,0.7,353.50607139244676
ASSWDETECT,5,0.7,354.1569142602384
ASSWDETECT,6,0.7,353.25963919982314
ASSWDETECT,7,0.7,352.4869661014527
ASSWDETECT,8,0.7,353.0927341412753
ASSWDETECT,9,0.7,352.8293126374483
ASSWDETECT,10,0.7,353.1299502365291
ASSWDETECT,11,0.7,353.1698966398835
ASSWDETECT,12,0.7,351.73707481473684
ASSWDETECT,13,0.7,352.45044372975826
ASSWDETECT,14,0.7,352.6054603308439
ASSWDETECT,15,0.7,353.97382158227265
ASSWDETECT,16,0.7,353.33888988755643
ASSWDETECT,17,0.7,353.5038926154375
ASSWDETECT,18,0.7,354.22974160686135
ASSWDETECT,19,0.7,353.43797527067363
ASSWDETECT,20,0.7,353.0009157806635
ASSWDETECT,1,0.8,514.8392159882933
ASSWDETECT,2,0.8,515.3463563006371
ASSWDETECT,3,0.8,515.8513405490667
ASSWDETECT,4,0.8,515.5756086967885
ASSWDETECT,5,0.8,516.4834191221744
ASSWDETECT,6,0.8,515.1949009820819
ASSWDETECT,7,0.8,514.0542603358626
ASSWDETECT,8,0.8,516.5062233489007
ASSWDETECT,9,0.8,515.4199662022293
ASSWDETECT,10,0.8,515.4368913117796
ASSWDETECT,11,0.8,515.6533595044166
ASSWDETECT,12,0.8,516.2295118868351
ASSWDETECT,13,0.8,514.8594568800181
ASSWDETECT,14,0.8,514.8445165976882
ASSWDETECT,15,0.8,515.3412277549505
ASSWDETECT,16,0.8,515.318660305813
ASSWDETECT,17,0.8,515.8276628572494
ASSWDETECT,18,0.8,515.3978790976107
ASSWDETECT,19,0.8,515.0455772206187
ASSWDETECT,20,0.8,514.494158571586
ASSWDETECT,1,0.9,928.6686833444983
ASSWDETECT,2,0.9,928.6139669585973
ASSWDETECT,3,0.9,930.5043875686824
ASSWDETECT,4,0.9,928.9201547279954
ASSWDETECT,5,0.9,928.6778653282672
ASSWDETECT,6,0.9,928.567597175017
ASSWDETECT,7,0.9,929.969837224111
ASSWDETECT,8,0.9,928.2262634243816
ASSWDETECT,9,0.9,928.7175253033638
ASSWDETECT,10,0.9,928.1157187316567
ASSWDETECT,11,0.9,929.273464506492
ASSWDETECT,12,0.9,928.0392688009888
ASSWDETECT,13,0.9,928.1006644070148
ASSWDETECT,14,0.9,928.3006217516959
ASSWDETECT,15,0.9,928.4567612782121
ASSWDETECT,16,0.9,929.4032014850527
ASSWDETECT,17,0.9,928.8107874393463
ASSWDETECT,18,0.9,928.2842448409647
ASSWDETECT,19,0.9,928.6014816537499
ASSWDETECT,20,0.9,927.5078929699957

