method,run,overlap,time
ASDETECT,1,NaN,123.01067161900028
ASDETECT,2,NaN,122.72506337300001
ASDETECT,3,NaN,122.71088952300124
ASDETECT,4,NaN,122.89841540500129
ASDETECT,5,NaN,122.67794711700117
ASDETECT,6,NaN,122.86336764899897
ASDETECT,7,NaN,122.56614095900113
ASDETECT,8,NaN,122.68251360800059
ASDETECT,9,NaN,122.74553775499953
ASDETECT,10,NaN,122.67793676099973
ASDETECT,11,NaN,122.54311655200036
ASDETECT,12,NaN,122.87254868300079
ASDETECT,13,NaN,123.03625043400098
ASDETECT,14,NaN,122.93023354999968
ASDETECT,15,NaN,122.78928576699946
ASDETECT,16,NaN,122.95115035100025
ASDETECT,17,NaN,122.70793707800112
ASDETECT,18,NaN,122.74832497399984
ASDETECT,19,NaN,122.85969976500019
ASDETECT,20,NaN,122.88387267899998
ASSWDETECT,1,0.0,125.60167835299944
ASSWDETECT,2,0.0,125.46965207799985
ASSWDETECT,3,0.0,125.44047668299936
ASSWDETECT,4,0.0,125.58074890999887
ASSWDETECT,5,0.0,125.29848129899983
ASSWDETECT,6,0.0,125.42978374499944
ASSWDETECT,7,0.0,125.4274573799994
ASSWDETECT,8,0.0,125.39166453500002
ASSWDETECT,9,0.0,125.5951348689996
ASSWDETECT,10,0.0,125.63326530000086
ASSWDETECT,11,0.0,125.34436156500124
ASSWDETECT,12,0.0,125.40276338699914
ASSWDETECT,13,0.0,125.46651712099992
ASSWDETECT,14,0.0,125.32996410000123
ASSWDETECT,15,0.0,125.4034955169991
ASSWDETECT,16,0.0,125.60770466800022
ASSWDETECT,17,0.0,125.42137075400024
ASSWDETECT,18,0.0,125.50994604100015
ASSWDETECT,19,0.0,125.35988985199947
ASSWDETECT,20,0.0,125.71680948399808
ASSWDETECT_DOUBLE,1,0.0,249.6468884850001
ASSWDETECT_DOUBLE,2,0.0,249.72692304800148
ASSWDETECT_DOUBLE,3,0.0,249.94808755999838
ASSWDETECT_DOUBLE,4,0.0,249.84823679500187
ASSWDETECT_DOUBLE,5,0.0,250.00450513800024
ASSWDETECT_DOUBLE,6,0.0,250.03444606799894
ASSWDETECT_DOUBLE,7,0.0,250.11074424899925
