method,run,overlap,time
ASDETECT,1,NaN,122.77532731182873
ASDETECT,2,NaN,122.46831236034632
ASDETECT,3,NaN,122.57685743272305
ASDETECT,4,NaN,122.4691239669919
ASDETECT,5,NaN,122.63787581957877
ASDETECT,6,NaN,122.76271989941597
ASDETECT,7,NaN,122.48332023248076
ASDETECT,8,NaN,122.62261669524014
ASDETECT,9,NaN,122.68890890479088
ASDETECT,10,NaN,122.6311204675585
ASSWDETECT,1,0.0,125.20722778141499
ASSWDETECT,2,0.0,124.87492397613823
ASSWDETECT,3,0.0,125.16535449586809
ASSWDETECT,4,0.0,124.98804827034473
ASSWDETECT,5,0.0,125.21402135118842
ASSWDETECT,6,0.0,125.25605585798621
ASSWDETECT,7,0.0,124.84341552853584
ASSWDETECT,8,0.0,125.18246101588011
ASSWDETECT,9,0.0,125.16649715416133
ASSWDETECT,10,0.0,125.03749918565154
ASSWDETECT_DOUBLE,1,0.0,247.73901429586112
ASSWDETECT_DOUBLE,2,0.0,247.28111568279564
ASSWDETECT_DOUBLE,3,0.0,247.49401468597353
ASSWDETECT_DOUBLE,4,0.0,247.7208326589316
ASSWDETECT_DOUBLE,5,0.0,247.3023725748062
ASSWDETECT_DOUBLE,6,0.0,247.65649599209428
ASSWDETECT_DOUBLE,7,0.0,247.50416916795075
ASSWDETECT_DOUBLE,8,0.0,247.78023044019938
ASSWDETECT_DOUBLE,9,0.0,247.39308351650834
ASSWDETECT_DOUBLE,10,0.0,247.4038328435272
ASSWDETECT,1,0.1,133.017265252769
ASSWDETECT,2,0.1,132.95801665633917
ASSWDETECT,3,0.1,133.01615063473582
ASSWDETECT,4,0.1,133.03252781555057
ASSWDETECT,5,0.1,133.24411015957594
ASSWDETECT,6,0.1,132.98293825984
ASSWDETECT,7,0.1,132.84887023456395
ASSWDETECT,8,0.1,133.11946441605687
ASSWDETECT,9,0.1,133.053092231974
ASSWDETECT,10,0.1,132.97188653051853
ASSWDETECT_DOUBLE,1,0.1,262.6172901894897
ASSWDETECT_DOUBLE,2,0.1,262.41957173496485
ASSWDETECT_DOUBLE,3,0.1,262.4974456001073
ASSWDETECT_DOUBLE,4,0.1,262.4207750670612
ASSWDETECT_DOUBLE,5,0.1,262.39073866046965
ASSWDETECT_DOUBLE,6,0.1,262.402952356264
ASSWDETECT_DOUBLE,7,0.1,262.4287024028599
ASSWDETECT_DOUBLE,8,0.1,262.3036088962108
ASSWDETECT_DOUBLE,9,0.1,262.6311087012291
ASSWDETECT_DOUBLE,10,0.1,262.4895684029907
ASSWDETECT,1,0.2,149.2073158789426
ASSWDETECT,2,0.2,149.25447353161871
ASSWDETECT,3,0.2,149.03783981874585
ASSWDETECT,4,0.2,149.1445151399821
ASSWDETECT,5,0.2,148.96747201122344
ASSWDETECT,6,0.2,149.6819453742355
ASSWDETECT,7,0.2,149.03696656227112
ASSWDETECT,8,0.2,149.14989803358912
ASSWDETECT,9,0.2,149.21632736362517
ASSWDETECT,10,0.2,149.33158021606505
ASSWDETECT_DOUBLE,1,0.2,295.0708360001445
ASSWDETECT_DOUBLE,2,0.2,295.01544189453125
ASSWDETECT_DOUBLE,3,0.2,294.96894796937704
ASSWDETECT_DOUBLE,4,0.2,294.9622079152614
ASSWDETECT_DOUBLE,5,0.2,295.0427550356835
ASSWDETECT_DOUBLE,6,0.2,295.0248528830707
ASSWDETECT_DOUBLE,7,0.2,294.8692450802773
ASSWDETECT_DOUBLE,8,0.2,294.4378413911909
ASSWDETECT_DOUBLE,9,0.2,294.7051941920072
ASSWDETECT_DOUBLE,10,0.2,295.04005507193506
ASSWDETECT,1,0.3,167.0599481537938
ASSWDETECT,2,0.3,166.9025986082852
ASSWDETECT,3,0.3,166.6943243574351
ASSWDETECT,4,0.3,167.03956045396626
ASSWDETECT,5,0.3,167.03286081552505
ASSWDETECT,6,0.3,167.03215096890926
ASSWDETECT,7,0.3,167.28781728819013
ASSWDETECT,8,0.3,166.71867007948458
ASSWDETECT,9,0.3,166.90443387255073
ASSWDETECT,10,0.3,166.7332135513425
ASSWDETECT_DOUBLE,1,0.3,330.4467188157141
ASSWDETECT_DOUBLE,2,0.3,330.29026498273015
ASSWDETECT_DOUBLE,3,0.3,330.42332787439227
ASSWDETECT_DOUBLE,4,0.3,330.2429131362587
ASSWDETECT_DOUBLE,5,0.3,330.0069480165839
ASSWDETECT_DOUBLE,6,0.3,330.27352926135063
ASSWDETECT_DOUBLE,7,0.3,330.5154404565692
ASSWDETECT_DOUBLE,8,0.3,330.3296817652881
ASSWDETECT_DOUBLE,9,0.3,329.9207533635199
ASSWDETECT_DOUBLE,10,0.3,330.1945225391537
ASSWDETECT,1,0.4,192.55725153908134
ASSWDETECT,2,0.4,192.46539990790188
ASSWDETECT,3,0.4,192.83544131182134
ASSWDETECT,4,0.4,192.57166280597448
ASSWDETECT,5,0.4,192.7922188770026
ASSWDETECT,6,0.4,192.88215456157923
ASSWDETECT,7,0.4,193.00432799383998
ASSWDETECT,8,0.4,192.69276022911072
ASSWDETECT,9,0.4,192.68944198079407
ASSWDETECT,10,0.4,192.63181988708675
ASSWDETECT_DOUBLE,1,0.4,381.28212923929095
ASSWDETECT_DOUBLE,2,0.4,381.5679794996977
ASSWDETECT_DOUBLE,3,0.4,381.83057084679604
ASSWDETECT_DOUBLE,4,0.4,381.5998606663197
ASSWDETECT_DOUBLE,5,0.4,381.4004319999367
ASSWDETECT_DOUBLE,6,0.4,381.5619751457125
ASSWDETECT_DOUBLE,7,0.4,382.03722017630935
ASSWDETECT_DOUBLE,8,0.4,381.9249932281673
ASSWDETECT_DOUBLE,9,0.4,381.883371964097
ASSWDETECT_DOUBLE,10,0.4,381.8064086996019
ASSWDETECT,1,0.5,230.02094184607267
ASSWDETECT,2,0.5,229.98065395653248
ASSWDETECT,3,0.5,229.8577608782798
ASSWDETECT,4,0.5,230.03042440861464
ASSWDETECT,5,0.5,229.99222295545042
ASSWDETECT,6,0.5,229.8079632576555
ASSWDETECT,7,0.5,229.81840937957168
ASSWDETECT,8,0.5,229.74025151133537
ASSWDETECT,9,0.5,229.75420224107802
ASSWDETECT,10,0.5,229.88142801821232
ASSWDETECT_DOUBLE,1,0.5,456.70073958672583
ASSWDETECT_DOUBLE,2,0.5,456.1406989842653
ASSWDETECT_DOUBLE,3,0.5,455.8175299614668
ASSWDETECT_DOUBLE,4,0.5,456.6307751107961
ASSWDETECT_DOUBLE,5,0.5,456.7379793561995
ASSWDETECT_DOUBLE,6,0.5,456.4843894056976
ASSWDETECT_DOUBLE,7,0.5,456.0001574270427
ASSWDETECT_DOUBLE,8,0.5,456.68128933757544
ASSWDETECT_DOUBLE,9,0.5,456.038156947121
ASSWDETECT_DOUBLE,10,0.5,456.4245084859431
ASSWDETECT,1,0.6,278.7233882881701
ASSWDETECT,2,0.6,278.81244881637394
ASSWDETECT,3,0.6,278.6463713441044
ASSWDETECT,4,0.6,278.99307810142636
