method,run,overlap,limits,time
ASSWDETECT,6,1.0,"(116, 116)",44.52156957899933
ASSWDETECT,7,1.0,"(116, 116)",44.310560861998965
ASSWDETECT,8,1.0,"(116, 116)",44.28382113800035
ASSWDETECT,9,1.0,"(116, 116)",44.273178396999356
ASSWDETECT,10,1.0,"(116, 116)",44.270634759999666
ASSWDETECT_DOUBLE,1,1.0,"(116, 116)",88.87942858400129
ASSWDETECT_DOUBLE,2,1.0,"(116, 116)",89.09760538000046
ASSWDETECT_DOUBLE,3,1.0,"(116, 116)",88.70518538500073
ASSWDETECT_DOUBLE,4,1.0,"(116, 116)",89.50411548400007
ASSWDETECT_DOUBLE,5,1.0,"(116, 116)",88.72345975399912
ASSWDETECT_DOUBLE,6,1.0,"(116, 116)",88.99783153099997
ASSWDETECT_DOUBLE,7,1.0,"(116, 116)",89.1340789650003
ASSWDETECT_DOUBLE,8,1.0,"(116, 116)",89.28871110799992
ASSWDETECT_DOUBLE,9,1.0,"(116, 116)",89.00644738600022
ASSWDETECT_DOUBLE,10,1.0,"(116, 116)",89.29159230999903
