method,run,overlap,limits,time
ASDETECT,1,NaN,"(15, 15)",2.2948436429996946
ASDETECT,2,NaN,"(15, 15)",2.2884884909999528
ASDETECT,3,NaN,"(15, 15)",2.297008138999445
ASDETECT,4,NaN,"(15, 15)",2.2905313719984406
ASDETECT,5,NaN,"(15, 15)",2.286289323999881
ASDETECT,6,NaN,"(15, 15)",2.285585606001405
ASDETECT,7,NaN,"(15, 15)",2.2817102019998856
ASDETECT,8,NaN,"(15, 15)",2.2867231110012654
ASDETECT,9,NaN,"(15, 15)",2.2873679170006653
ASDETECT,10,NaN,"(15, 15)",2.284311785000682
ASDETECT,1,NaN,"(35, 35)",1.2606265529993834
ASDETECT,2,NaN,"(35, 35)",1.260070482001538
ASDETECT,3,NaN,"(35, 35)",1.2604651279998507
ASDETECT,4,NaN,"(35, 35)",1.259768838999662
ASDETECT,5,NaN,"(35, 35)",1.2621537750001153
ASDETECT,6,NaN,"(35, 35)",1.2603054009996413
ASDETECT,7,NaN,"(35, 35)",1.2584990690011182
ASDETECT,8,NaN,"(35, 35)",1.2610505409993493
ASDETECT,9,NaN,"(35, 35)",1.2599360359999991
ASDETECT,10,NaN,"(35, 35)",1.2647565080005734
ASDETECT,1,NaN,"(70, 70)",0.887683865001236
ASDETECT,2,NaN,"(70, 70)",0.8926419409999653
ASDETECT,3,NaN,"(70, 70)",0.8925771089998307
ASDETECT,4,NaN,"(70, 70)",0.8941911530000652
ASDETECT,5,NaN,"(70, 70)",0.8891733340005885
ASDETECT,6,NaN,"(70, 70)",0.8947614660010004
ASDETECT,7,NaN,"(70, 70)",0.8951027490002161
ASDETECT,8,NaN,"(70, 70)",0.8951671419999911
ASDETECT,9,NaN,"(70, 70)",0.8915836489995854
ASDETECT,10,NaN,"(70, 70)",0.8913167179998709
ASDETECT,1,NaN,"(116, 116)",0.7482526719995803
ASDETECT,2,NaN,"(116, 116)",0.7475766150000709
ASDETECT,3,NaN,"(116, 116)",0.7453750770000624
ASDETECT,4,NaN,"(116, 116)",0.7472870639994653
ASDETECT,5,NaN,"(116, 116)",0.7495263619985053
ASDETECT,6,NaN,"(116, 116)",0.7486805989992718
ASDETECT,7,NaN,"(116, 116)",0.7484093279999797
ASDETECT,8,NaN,"(116, 116)",0.7535186210006941
ASDETECT,9,NaN,"(116, 116)",0.757410924999931
ASDETECT,10,NaN,"(116, 116)",0.7510860439997487
ASSWDETECT,1,1.0,"(15, 15)",31.44162159699954
ASSWDETECT,2,1.0,"(15, 15)",31.37590443499903
ASSWDETECT,3,1.0,"(15, 15)",31.385741404999862
ASSWDETECT,4,1.0,"(15, 15)",31.392432140999517
ASSWDETECT,5,1.0,"(15, 15)",31.4468513920001
ASSWDETECT,6,1.0,"(15, 15)",31.43358597399856
ASSWDETECT,7,1.0,"(15, 15)",31.34159966200059
ASSWDETECT,8,1.0,"(15, 15)",31.4138459220012
ASSWDETECT,9,1.0,"(15, 15)",31.39713128800031
ASSWDETECT,10,1.0,"(15, 15)",31.40683485699992
ASSWDETECT_DOUBLE,1,1.0,"(15, 15)",62.928400033999424
ASSWDETECT_DOUBLE,2,1.0,"(15, 15)",63.02964760099894
ASSWDETECT_DOUBLE,3,1.0,"(15, 15)",63.135683210000934
ASSWDETECT_DOUBLE,4,1.0,"(15, 15)",62.990359523000734
ASSWDETECT_DOUBLE,5,1.0,"(15, 15)",62.993027176000396
ASSWDETECT_DOUBLE,6,1.0,"(15, 15)",63.13584155599892
ASSWDETECT_DOUBLE,7,1.0,"(15, 15)",63.05118970799958
ASSWDETECT_DOUBLE,8,1.0,"(15, 15)",62.92011367199848
ASSWDETECT_DOUBLE,9,1.0,"(15, 15)",63.102504489999774
ASSWDETECT_DOUBLE,10,1.0,"(15, 15)",63.14388529899952
ASSWDETECT,1,1.0,"(35, 35)",34.59359587799918
ASSWDETECT,2,1.0,"(35, 35)",34.57223991899991
ASSWDETECT,3,1.0,"(35, 35)",34.63714882699969
ASSWDETECT,4,1.0,"(35, 35)",34.65377241399983
ASSWDETECT,5,1.0,"(35, 35)",34.63755839700025
ASSWDETECT,6,1.0,"(35, 35)",34.583029141000225
ASSWDETECT,7,1.0,"(35, 35)",34.578797203999784
ASSWDETECT,8,1.0,"(35, 35)",34.59274857899982
ASSWDETECT,9,1.0,"(35, 35)",34.632806738
ASSWDETECT,10,1.0,"(35, 35)",34.6266478969992
ASSWDETECT_DOUBLE,1,1.0,"(35, 35)",69.78829912800029
ASSWDETECT_DOUBLE,2,1.0,"(35, 35)",69.50506260200018
ASSWDETECT_DOUBLE,3,1.0,"(35, 35)",69.71215322100034
ASSWDETECT_DOUBLE,4,1.0,"(35, 35)",69.75880588600012
ASSWDETECT_DOUBLE,5,1.0,"(35, 35)",69.51780001500083
ASSWDETECT_DOUBLE,6,1.0,"(35, 35)",69.6868709449991
ASSWDETECT_DOUBLE,7,1.0,"(35, 35)",69.42561581900009
ASSWDETECT_DOUBLE,8,1.0,"(35, 35)",69.34491999099919
ASSWDETECT_DOUBLE,9,1.0,"(35, 35)",69.45602140099982
ASSWDETECT_DOUBLE,10,1.0,"(35, 35)",69.629593742
ASSWDETECT,1,1.0,"(70, 70)",40.22748364799918
ASSWDETECT,2,1.0,"(70, 70)",40.27037423399997
ASSWDETECT,3,1.0,"(70, 70)",40.28380498600018
ASSWDETECT,4,1.0,"(70, 70)",40.21684926299895
ASSWDETECT,5,1.0,"(70, 70)",40.172809719000725
ASSWDETECT,6,1.0,"(70, 70)",40.16010957400067
ASSWDETECT,7,1.0,"(70, 70)",40.26435764300004
ASSWDETECT,8,1.0,"(70, 70)",40.26739521899981
ASSWDETECT,9,1.0,"(70, 70)",40.27540575900093
ASSWDETECT,10,1.0,"(70, 70)",40.27314587699948
ASSWDETECT_DOUBLE,1,1.0,"(70, 70)",80.76067939399945
ASSWDETECT_DOUBLE,2,1.0,"(70, 70)",80.97868206800013
ASSWDETECT_DOUBLE,3,1.0,"(70, 70)",80.75710863700078
ASSWDETECT_DOUBLE,4,1.0,"(70, 70)",80.52849117000005
ASSWDETECT_DOUBLE,5,1.0,"(70, 70)",80.8519934119995
ASSWDETECT_DOUBLE,6,1.0,"(70, 70)",80.9305602330005
ASSWDETECT_DOUBLE,7,1.0,"(70, 70)",80.7242445869997
ASSWDETECT_DOUBLE,8,1.0,"(70, 70)",81.05410507300076
ASSWDETECT_DOUBLE,9,1.0,"(70, 70)",80.9332600079997
ASSWDETECT_DOUBLE,10,1.0,"(70, 70)",81.3089408449996
ASSWDETECT,1,1.0,"(116, 116)",44.29340238899931
ASSWDETECT,2,1.0,"(116, 116)",44.303372214000774
ASSWDETECT,3,1.0,"(116, 116)",44.31223590800073
ASSWDETECT,4,1.0,"(116, 116)",44.33766722300061
ASSWDETECT,5,1.0,"(116, 116)",44.28822844299975
