method,run,overlap,limits,time
ASDETECT,1,NaN,"(5, 15)",37.46710136393085
ASDETECT,2,NaN,"(5, 15)",37.41170459694695
ASDETECT,3,NaN,"(5, 15)",37.483919471967965
ASDETECT,4,NaN,"(5, 15)",37.505101907067
ASDETECT,5,NaN,"(5, 15)",37.463120709056966
ASDETECT,6,NaN,"(5, 15)",37.427345906966366
ASDETECT,7,NaN,"(5, 15)",37.39092166302726
ASDETECT,8,NaN,"(5, 15)",37.42699150298722
ASDETECT,9,NaN,"(5, 15)",37.42251657601446
ASDETECT,10,NaN,"(5, 15)",37.48171489103697
ASDETECT,1,NaN,"(8, 35)",51.20109472901095
ASDETECT,2,NaN,"(8, 35)",51.15598912909627
ASDETECT,3,NaN,"(8, 35)",51.17347148794215
ASDETECT,4,NaN,"(8, 35)",51.05001414101571
ASDETECT,5,NaN,"(8, 35)",51.09377780894283
ASDETECT,6,NaN,"(8, 35)",51.13722010201309
ASDETECT,7,NaN,"(8, 35)",51.1447527280543
ASDETECT,8,NaN,"(8, 35)",51.11949538602494
ASDETECT,9,NaN,"(8, 35)",51.14100551104639
ASDETECT,10,NaN,"(8, 35)",51.2355655010324
ASDETECT,1,NaN,"(17, 70)",56.1184111260809
ASDETECT,2,NaN,"(17, 70)",56.14744712004904
ASDETECT,3,NaN,"(17, 70)",56.21263930702116
ASDETECT,4,NaN,"(17, 70)",56.26096563099418
ASDETECT,5,NaN,"(17, 70)",56.11676872498356
ASDETECT,6,NaN,"(17, 70)",56.09772359300405
ASDETECT,7,NaN,"(17, 70)",56.283536936040036
ASDETECT,8,NaN,"(17, 70)",56.30204463400878
ASDETECT,9,NaN,"(17, 70)",56.24982094601728
ASDETECT,10,NaN,"(17, 70)",56.12918171903584
ASDETECT,1,NaN,"(35, 116)",58.18598077003844
ASDETECT,2,NaN,"(35, 116)",58.16628504707478
ASDETECT,3,NaN,"(35, 116)",58.52602809097152
ASDETECT,4,NaN,"(35, 116)",58.2711097470019
ASDETECT,5,NaN,"(35, 116)",58.288495898013934
ASDETECT,6,NaN,"(35, 116)",58.35580855701119
ASDETECT,7,NaN,"(35, 116)",58.45392078894656
ASDETECT,8,NaN,"(35, 116)",58.51057249098085
ASDETECT,9,NaN,"(35, 116)",58.222833434003405
ASDETECT,10,NaN,"(35, 116)",58.14434922800865
ASSWDETECT,1,1.0,"(5, 15)",329.6315784249455
ASSWDETECT,2,1.0,"(5, 15)",329.4969270429574
ASSWDETECT,3,1.0,"(5, 15)",329.5941524999216
ASSWDETECT,4,1.0,"(5, 15)",329.60903929907363
ASSWDETECT,5,1.0,"(5, 15)",329.32232405093964
ASSWDETECT,6,1.0,"(5, 15)",329.5923463249346
ASSWDETECT,7,1.0,"(5, 15)",329.45468950504437
ASSWDETECT,8,1.0,"(5, 15)",329.61007685994264
ASSWDETECT,9,1.0,"(5, 15)",329.43988233595155
ASSWDETECT,10,1.0,"(5, 15)",329.6156477169134
ASSWDETECT_DOUBLE,1,1.0,"(5, 15)",663.0377690700116
ASSWDETECT_DOUBLE,2,1.0,"(5, 15)",663.0066646930063
ASSWDETECT_DOUBLE,3,1.0,"(5, 15)",663.1915257390356
ASSWDETECT_DOUBLE,4,1.0,"(5, 15)",662.8792277890025
ASSWDETECT_DOUBLE,5,1.0,"(5, 15)",662.8741104729706
ASSWDETECT_DOUBLE,6,1.0,"(5, 15)",663.4496615600074
ASSWDETECT_DOUBLE,7,1.0,"(5, 15)",663.0578949500341
ASSWDETECT_DOUBLE,8,1.0,"(5, 15)",663.0789198819548
ASSWDETECT_DOUBLE,9,1.0,"(5, 15)",663.045838044025
ASSWDETECT_DOUBLE,10,1.0,"(5, 15)",662.9742092629895
ASSWDETECT,1,1.0,"(8, 35)",900.0220984360203
ASSWDETECT,2,1.0,"(8, 35)",900.2178622169886
ASSWDETECT,3,1.0,"(8, 35)",899.5770347350044
ASSWDETECT,4,1.0,"(8, 35)",898.4653577569406
ASSWDETECT,5,1.0,"(8, 35)",898.6745555169182
ASSWDETECT,6,1.0,"(8, 35)",898.4079385930672
ASSWDETECT,7,1.0,"(8, 35)",898.5032091069734
ASSWDETECT,8,1.0,"(8, 35)",898.2329680969706
ASSWDETECT,9,1.0,"(8, 35)",898.4175443369895
ASSWDETECT,10,1.0,"(8, 35)",898.4114583930932
ASSWDETECT_DOUBLE,1,1.0,"(8, 35)",1803.1245975659695
ASSWDETECT_DOUBLE,2,1.0,"(8, 35)",1803.2136736420216
ASSWDETECT_DOUBLE,3,1.0,"(8, 35)",1802.9346471549943
ASSWDETECT_DOUBLE,4,1.0,"(8, 35)",1802.7491265969584
ASSWDETECT_DOUBLE,5,1.0,"(8, 35)",1803.2037163639907
ASSWDETECT_DOUBLE,6,1.0,"(8, 35)",1802.7978460289305
ASSWDETECT_DOUBLE,7,1.0,"(8, 35)",1802.5812867669156
ASSWDETECT_DOUBLE,8,1.0,"(8, 35)",1801.8307827330427
ASSWDETECT_DOUBLE,9,1.0,"(8, 35)",1802.5752275019186
ASSWDETECT_DOUBLE,10,1.0,"(8, 35)",1802.2582066650502
ASSWDETECT,1,1.0,"(17, 70)",1939.5829435440246
ASSWDETECT,2,1.0,"(17, 70)",1939.1216363828862
ASSWDETECT,3,1.0,"(17, 70)",1938.867039441946
ASSWDETECT,4,1.0,"(17, 70)",1938.7411446149927
ASSWDETECT,5,1.0,"(17, 70)",1939.9162781779887
ASSWDETECT,6,1.0,"(17, 70)",1939.2098134401022
ASSWDETECT,7,1.0,"(17, 70)",1939.1184435839532
ASSWDETECT,8,1.0,"(17, 70)",1940.4049628019566
ASSWDETECT,9,1.0,"(17, 70)",1939.0765811940655
ASSWDETECT,10,1.0,"(17, 70)",1939.0538688099477
ASSWDETECT_DOUBLE,1,1.0,"(17, 70)",3898.2819241069956
ASSWDETECT_DOUBLE,2,1.0,"(17, 70)",3896.5715783080086
ASSWDETECT_DOUBLE,3,1.0,"(17, 70)",3896.806565290084
ASSWDETECT_DOUBLE,4,1.0,"(17, 70)",3897.668200692977
ASSWDETECT_DOUBLE,5,1.0,"(17, 70)",3897.3051113210386
ASSWDETECT_DOUBLE,6,1.0,"(17, 70)",3896.3488757669693
ASSWDETECT_DOUBLE,7,1.0,"(17, 70)",3895.194134674035
ASSWDETECT_DOUBLE,8,1.0,"(17, 70)",3896.8936002260307
ASSWDETECT_DOUBLE,9,1.0,"(17, 70)",3896.5583175770007
ASSWDETECT_DOUBLE,10,1.0,"(17, 70)",3895.000022521941
