method,run,overlap,limits,time
ASDETECT,1,NaN,"(15, 15)",2.3173889010013227
ASDETECT,2,NaN,"(15, 15)",2.3194498129996646
ASDETECT,3,NaN,"(15, 15)",2.296392697000556
ASDETECT,4,NaN,"(15, 15)",2.320731464000346
ASDETECT,5,NaN,"(15, 15)",2.318126561000099
ASDETECT,6,NaN,"(15, 15)",2.295572445000289
ASDETECT,7,NaN,"(15, 15)",2.290693590999581
ASDETECT,8,NaN,"(15, 15)",2.3050146300010965
ASDETECT,9,NaN,"(15, 15)",2.311505458001193
ASDETECT,10,NaN,"(15, 15)",2.3153539309987536
ASDETECT,1,NaN,"(35, 35)",1.25892161900083
ASDETECT,2,NaN,"(35, 35)",1.2605126630005543
ASDETECT,3,NaN,"(35, 35)",1.2588451569990866
ASDETECT,4,NaN,"(35, 35)",1.2622510809997038
ASDETECT,5,NaN,"(35, 35)",1.2613784770001075
ASDETECT,6,NaN,"(35, 35)",1.2630072720003227
ASDETECT,7,NaN,"(35, 35)",1.2632868130003772
ASDETECT,8,NaN,"(35, 35)",1.2623362649992487
ASDETECT,9,NaN,"(35, 35)",1.2612174130008498
ASDETECT,10,NaN,"(35, 35)",1.2644646419994388
ASDETECT,1,NaN,"(70, 70)",0.88655441300034
ASDETECT,2,NaN,"(70, 70)",0.8884622980003769
ASDETECT,3,NaN,"(70, 70)",0.8891441059986391
ASDETECT,4,NaN,"(70, 70)",0.8883132430000842
ASDETECT,5,NaN,"(70, 70)",0.8872856620000675
ASDETECT,6,NaN,"(70, 70)",0.8896422750003694
ASDETECT,7,NaN,"(70, 70)",0.8892940519999684
ASDETECT,8,NaN,"(70, 70)",0.8836788089993206
ASDETECT,9,NaN,"(70, 70)",0.890902745000858
ASDETECT,10,NaN,"(70, 70)",0.890281521000361
ASDETECT,1,NaN,"(116, 116)",0.7337146310001117
ASDETECT,2,NaN,"(116, 116)",0.7321544589995028
ASDETECT,3,NaN,"(116, 116)",0.734201840001333
ASDETECT,4,NaN,"(116, 116)",0.7354415299996617
ASDETECT,5,NaN,"(116, 116)",0.735973599999852
ASDETECT,6,NaN,"(116, 116)",0.735717621000731
ASDETECT,7,NaN,"(116, 116)",0.7360575339989737
ASDETECT,8,NaN,"(116, 116)",0.7390214309998555
ASDETECT,9,NaN,"(116, 116)",0.7357222700011334
ASDETECT,10,NaN,"(116, 116)",0.7373731660009071
ASSWDETECT,1,0.0,"(15, 15)",2.3414500649996626
ASSWDETECT,2,0.0,"(15, 15)",2.3442783169994073
ASSWDETECT,3,0.0,"(15, 15)",2.3493070870008523
ASSWDETECT,4,0.0,"(15, 15)",2.344254217001435
ASSWDETECT,5,0.0,"(15, 15)",2.3449501340001007
ASSWDETECT,6,0.0,"(15, 15)",2.348881240000992
ASSWDETECT,7,0.0,"(15, 15)",2.3410178079993784
ASSWDETECT,8,0.0,"(15, 15)",2.34663836099935
ASSWDETECT,9,0.0,"(15, 15)",2.3429318539983797
ASSWDETECT,10,0.0,"(15, 15)",2.3471044300003996
ASSWDETECT_DOUBLE,1,0.0,"(15, 15)",4.543500170000698
ASSWDETECT_DOUBLE,2,0.0,"(15, 15)",4.536362115999509
ASSWDETECT_DOUBLE,3,0.0,"(15, 15)",4.542664676000641
