method,run,overlap,time
ASDETECT,1,NaN,123.08535333094187
ASDETECT,2,NaN,123.058881570003
ASDETECT,3,NaN,123.20540563797113
ASDETECT,4,NaN,123.07787993492093
ASDETECT,5,NaN,123.20189801696688
ASDETECT,6,NaN,123.30508748895954
ASDETECT,7,NaN,122.99021594994701
ASDETECT,8,NaN,123.28299582994077
ASDETECT,9,NaN,123.09286241594236
ASDETECT,10,NaN,123.05754531593993
ASSWDETECT,1,0.0,124.26812721299939
ASSWDETECT,2,0.0,124.39260243892204
ASSWDETECT,3,0.0,124.45579911395907
ASSWDETECT,4,0.0,124.1300740300212
ASSWDETECT,5,0.0,124.41381992492825
ASSWDETECT,6,0.0,124.31520286004525
ASSWDETECT,7,0.0,124.33617186301854
ASSWDETECT,8,0.0,124.36535754008219
ASSWDETECT,9,0.0,124.16840788605623
ASSWDETECT,10,0.0,124.4377680090256
ASSWDETECT,1,0.1,132.05484514997806
ASSWDETECT,2,0.1,131.86483453400433
ASSWDETECT,3,0.1,131.92957858904265
ASSWDETECT,4,0.1,131.9094065199606
ASSWDETECT,5,0.1,131.9497685340466
ASSWDETECT,6,0.1,131.88977755000815
ASSWDETECT,7,0.1,131.8958932539681
ASSWDETECT,8,0.1,132.05478222703096
ASSWDETECT,9,0.1,131.93602553091478
ASSWDETECT,10,0.1,131.86598370596766
ASSWDETECT,1,0.25,156.20722752204165
ASSWDETECT,2,0.25,156.04008125700057
ASSWDETECT,3,0.25,156.13989979494363
ASSWDETECT,4,0.25,156.0312233059667
ASSWDETECT,5,0.25,156.1306227010209
ASSWDETECT,6,0.25,156.19410421000794
ASSWDETECT,7,0.25,156.04759680794086
ASSWDETECT,8,0.25,156.16864936891943
ASSWDETECT,9,0.25,156.03831524809357
ASSWDETECT,10,0.25,156.11699223704636
ASSWDETECT,1,0.5,227.7914929779945
ASSWDETECT,2,0.5,227.79153707507066
ASSWDETECT,3,0.5,227.81956831691787
ASSWDETECT,4,0.5,227.7421882050112
ASSWDETECT,5,0.5,227.89884529891424
ASSWDETECT,6,0.5,227.70654839999042
ASSWDETECT,7,0.5,227.74951915896963
ASSWDETECT,8,0.5,227.61217186506838
ASSWDETECT,9,0.5,227.57880240806844
ASSWDETECT,10,0.5,227.66957628098316
ASSWDETECT,1,0.75,418.3635372060817
ASSWDETECT,2,0.75,418.97625763795804
ASSWDETECT,3,0.75,418.4016888929764
ASSWDETECT,4,0.75,418.7547967910068
ASSWDETECT,5,0.75,418.9128989749588
ASSWDETECT,6,0.75,418.4868837679969
ASSWDETECT,7,0.75,418.6655806020135
ASSWDETECT,8,0.75,418.9212600500323
ASSWDETECT,9,0.75,418.8063911899226
ASSWDETECT,10,0.75,418.3004757310264
ASSWDETECT,1,0.9,930.3736221930012
ASSWDETECT,2,0.9,930.7150767600397
ASSWDETECT,3,0.9,930.152737537981
ASSWDETECT,4,0.9,930.5500233160565
ASSWDETECT,5,0.9,930.6329003479332
ASSWDETECT,6,0.9,929.8118067570031
ASSWDETECT,7,0.9,930.3782727390062
ASSWDETECT,8,0.9,930.5973899270175
ASSWDETECT,9,0.9,931.6056580869481
ASSWDETECT,10,0.9,932.1225974609843
ASSWDETECT,1,1.0,4241.871438454953
ASSWDETECT,2,1.0,4242.179965218063
ASSWDETECT,3,1.0,4240.663605076028
ASSWDETECT,4,1.0,4241.6137435709825
ASSWDETECT,5,1.0,4240.60764063301
ASSWDETECT,6,1.0,4241.12735765602
ASSWDETECT,7,1.0,4241.617094021989
ASSWDETECT,8,1.0,4241.054087501019
ASSWDETECT,9,1.0,4240.971489812015
ASSWDETECT,10,1.0,4240.778909584042

